INFO:neural_network:Initializing NeuralNetwork with layer_sizes=(784, 100, 100, 10)
INFO:neural_network:L2 regularization enabled with alpha=0.0001
INFO:neural_network:NeuralNetwork initialized successfully with 89,610 parameters
INFO:neural_network:Starting training: 60000 samples, 784 features, 10 classes
INFO:neural_network:Training configuration: batch_size=200, max_epochs=200, early_stopping_patience=25
INFO:neural_network:Validation data provided: 10000 samples
INFO:neural_network:Epoch 5, Batch 50: loss=1.482697
INFO:neural_network:Epoch 5, Batch 60: loss=1.504062
INFO:neural_network:Epoch 5, Batch 70: loss=1.445153
INFO:neural_network:Epoch 5, Batch 80: loss=1.425557
INFO:neural_network:Epoch 5, Batch 90: loss=1.414938
INFO:neural_network:Epoch 5, Batch 100: loss=1.342808
INFO:neural_network:Epoch 5, Batch 110: loss=1.474024
INFO:neural_network:Epoch 5, Batch 120: loss=1.440462
INFO:neural_network:Epoch 5, Batch 130: loss=1.428176
INFO:neural_network:Epoch 5, Batch 140: loss=1.401367
INFO:neural_network:Epoch 5, Batch 150: loss=1.404457
INFO:neural_network:Epoch 5, Batch 160: loss=1.431087
INFO:neural_network:Epoch 5, Batch 170: loss=1.434560
INFO:neural_network:Epoch 5, Batch 180: loss=1.315191
INFO:neural_network:Epoch 5, Batch 190: loss=1.305831
INFO:neural_network:Epoch 5, Batch 200: loss=1.369450
INFO:neural_network:Epoch 5, Batch 210: loss=1.334036
INFO:neural_network:Epoch 5, Batch 220: loss=1.380672
INFO:neural_network:Epoch 5, Batch 230: loss=1.348933
INFO:neural_network:Epoch 5, Batch 240: loss=1.384919
INFO:neural_network:Epoch 5, Batch 250: loss=1.322628
INFO:neural_network:Epoch 5, Batch 260: loss=1.384913
INFO:neural_network:Epoch 5, Batch 270: loss=1.270945
INFO:neural_network:Epoch 5, Batch 280: loss=1.338596
INFO:neural_network:Epoch 5, Batch 290: loss=1.309288
INFO:neural_network:Epoch    5/200: train_loss=1.307824 (batch_avg=1.399135), lr=0.001
INFO:neural_network:Accuracy: 0.7500 (75/100 correct)
INFO:neural_network:  -> Validation accuracy: 0.7500
INFO:neural_network:Epoch 6, Batch 0: loss=1.330901
INFO:neural_network:Epoch 6, Batch 10: loss=1.327969
INFO:neural_network:Epoch 6, Batch 20: loss=1.259383
INFO:neural_network:Epoch 6, Batch 30: loss=1.256781
INFO:neural_network:Epoch 6, Batch 40: loss=1.293545
INFO:neural_network:Epoch 6, Batch 50: loss=1.256282
INFO:neural_network:Epoch 6, Batch 60: loss=1.286716
INFO:neural_network:Epoch 6, Batch 70: loss=1.229651
INFO:neural_network:Epoch 6, Batch 80: loss=1.281560
INFO:neural_network:Epoch 6, Batch 90: loss=1.265519
INFO:neural_network:Epoch 6, Batch 100: loss=1.186175
INFO:neural_network:Epoch 6, Batch 110: loss=1.251055
INFO:neural_network:Epoch 6, Batch 120: loss=1.153867
INFO:neural_network:Epoch 6, Batch 130: loss=1.176457
INFO:neural_network:Epoch 6, Batch 140: loss=1.195753
INFO:neural_network:Epoch 6, Batch 150: loss=1.265694
INFO:neural_network:Epoch 6, Batch 160: loss=1.235103
INFO:neural_network:Epoch 6, Batch 170: loss=1.168339
INFO:neural_network:Epoch 6, Batch 180: loss=1.209976
INFO:neural_network:Epoch 6, Batch 190: loss=1.198696
INFO:neural_network:Epoch 6, Batch 200: loss=1.105903
INFO:neural_network:Epoch 6, Batch 210: loss=1.245829
INFO:neural_network:Epoch 6, Batch 220: loss=1.208036
INFO:neural_network:Epoch 6, Batch 230: loss=1.200070
INFO:neural_network:Epoch 6, Batch 240: loss=1.157567
INFO:neural_network:Epoch 6, Batch 250: loss=1.085595
INFO:neural_network:Epoch 6, Batch 260: loss=1.102893
INFO:neural_network:Epoch 6, Batch 270: loss=1.217998
INFO:neural_network:Epoch 6, Batch 280: loss=1.140427
INFO:neural_network:Epoch 6, Batch 290: loss=1.181805
INFO:neural_network:Epoch    6/200: train_loss=1.148527 (batch_avg=1.226257), lr=0.001
INFO:neural_network:Accuracy: 0.6700 (67/100 correct)
INFO:neural_network:  -> Validation accuracy: 0.6700
INFO:neural_network:Epoch 7, Batch 0: loss=1.122566
INFO:neural_network:Epoch 7, Batch 10: loss=1.068192
INFO:neural_network:Epoch 7, Batch 20: loss=1.131000
INFO:neural_network:Epoch 7, Batch 30: loss=1.184423
INFO:neural_network:Epoch 7, Batch 40: loss=1.198302
INFO:neural_network:Epoch 7, Batch 50: loss=1.113727
INFO:neural_network:Epoch 7, Batch 60: loss=1.122266
INFO:neural_network:Epoch 7, Batch 70: loss=1.203217
INFO:neural_network:Epoch 7, Batch 80: loss=1.170932
INFO:neural_network:Epoch 7, Batch 90: loss=1.051444
INFO:neural_network:Epoch 7, Batch 100: loss=1.125264
INFO:neural_network:Epoch 7, Batch 110: loss=1.057832
INFO:neural_network:Epoch 7, Batch 120: loss=1.097975
INFO:neural_network:Epoch 7, Batch 130: loss=1.102431
INFO:neural_network:Epoch 7, Batch 140: loss=1.029644
INFO:neural_network:Epoch 7, Batch 150: loss=1.038180
INFO:neural_network:Epoch 7, Batch 160: loss=1.008590
INFO:neural_network:Epoch 7, Batch 170: loss=1.144731
INFO:neural_network:Epoch 7, Batch 180: loss=1.051995
INFO:neural_network:Epoch 7, Batch 190: loss=1.137510
INFO:neural_network:Epoch 7, Batch 200: loss=1.012914
INFO:neural_network:Epoch 7, Batch 210: loss=1.052551
INFO:neural_network:Epoch 7, Batch 220: loss=1.034700
INFO:neural_network:Epoch 7, Batch 230: loss=1.047981
INFO:neural_network:Epoch 7, Batch 240: loss=1.007631
INFO:neural_network:Epoch 7, Batch 250: loss=0.939928
INFO:neural_network:Epoch 7, Batch 260: loss=1.138655
INFO:neural_network:Epoch 7, Batch 270: loss=1.035347
INFO:neural_network:Epoch 7, Batch 280: loss=1.016867
INFO:neural_network:Epoch 7, Batch 290: loss=1.010879
INFO:neural_network:Epoch    7/200: train_loss=1.018365 (batch_avg=1.081503), lr=0.001
INFO:neural_network:Accuracy: 0.8200 (82/100 correct)
INFO:neural_network:  -> Validation accuracy: 0.8200
INFO:neural_network:Epoch 8, Batch 0: loss=1.000482
INFO:neural_network:Epoch 8, Batch 10: loss=1.052412
INFO:neural_network:Epoch 8, Batch 20: loss=0.976141
INFO:neural_network:Epoch 8, Batch 30: loss=0.935149
INFO:neural_network:Epoch 8, Batch 40: loss=1.007213
INFO:neural_network:Epoch 8, Batch 50: loss=1.040146
INFO:neural_network:Epoch 8, Batch 60: loss=1.012893
INFO:neural_network:Epoch 8, Batch 70: loss=1.065976
INFO:neural_network:Epoch 8, Batch 80: loss=0.978808
INFO:neural_network:Epoch 8, Batch 90: loss=0.948439
INFO:neural_network:Epoch 8, Batch 100: loss=1.034683
INFO:neural_network:Epoch 8, Batch 110: loss=0.948689
INFO:neural_network:Epoch 8, Batch 120: loss=0.916263
INFO:neural_network:Epoch 8, Batch 130: loss=0.962833
INFO:neural_network:Epoch 8, Batch 140: loss=0.943554
INFO:neural_network:Epoch 8, Batch 150: loss=0.968842
INFO:neural_network:Epoch 8, Batch 160: loss=0.961885
INFO:neural_network:Epoch 8, Batch 170: loss=0.939762
INFO:neural_network:Epoch 8, Batch 180: loss=0.904093
INFO:neural_network:Epoch 8, Batch 190: loss=0.974399
INFO:neural_network:Epoch 8, Batch 200: loss=0.923313
INFO:neural_network:Epoch 8, Batch 210: loss=0.899509
INFO:neural_network:Epoch 8, Batch 220: loss=0.935470
INFO:neural_network:Epoch 8, Batch 230: loss=1.007716
INFO:neural_network:Epoch 8, Batch 240: loss=0.984514
INFO:neural_network:Epoch 8, Batch 250: loss=0.932228
INFO:neural_network:Epoch 8, Batch 260: loss=0.906418
INFO:neural_network:Epoch 8, Batch 270: loss=0.908196
INFO:neural_network:Epoch 8, Batch 280: loss=0.923573
INFO:neural_network:Epoch 8, Batch 290: loss=0.906394
INFO:neural_network:Epoch    8/200: train_loss=0.914546 (batch_avg=0.964788), lr=0.001
INFO:neural_network:Accuracy: 0.7700 (77/100 correct)
INFO:neural_network:  -> Validation accuracy: 0.7700
INFO:neural_network:Epoch 9, Batch 0: loss=0.837744
INFO:neural_network:Epoch 9, Batch 10: loss=0.897733
INFO:neural_network:Epoch 9, Batch 20: loss=0.962773
INFO:neural_network:Epoch 9, Batch 30: loss=0.828263
INFO:neural_network:Epoch 9, Batch 40: loss=0.952921
INFO:neural_network:Epoch 9, Batch 50: loss=0.844130
INFO:neural_network:Epoch 9, Batch 60: loss=0.884243
INFO:neural_network:Epoch 9, Batch 70: loss=0.889631
INFO:neural_network:Epoch 9, Batch 80: loss=0.872014
INFO:neural_network:Epoch 9, Batch 90: loss=0.858876
INFO:neural_network:Epoch 9, Batch 100: loss=0.877174
INFO:neural_network:Epoch 9, Batch 110: loss=0.840236
INFO:neural_network:Epoch 9, Batch 120: loss=0.888553
INFO:neural_network:Epoch 9, Batch 130: loss=0.871330
INFO:neural_network:Epoch 9, Batch 140: loss=0.812099
INFO:neural_network:Epoch 9, Batch 150: loss=0.844002
INFO:neural_network:Epoch 9, Batch 160: loss=0.879572
INFO:neural_network:Epoch 9, Batch 170: loss=0.828618
INFO:neural_network:Epoch 9, Batch 180: loss=0.929903
INFO:neural_network:Epoch 9, Batch 190: loss=0.790529
INFO:neural_network:Epoch 9, Batch 200: loss=0.830231
INFO:neural_network:Epoch 9, Batch 210: loss=0.825585
INFO:neural_network:Epoch 9, Batch 220: loss=0.964467
INFO:neural_network:Epoch 9, Batch 230: loss=0.873107
INFO:neural_network:Epoch 9, Batch 240: loss=0.880447
